                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.581,                 1.9991,                  1.434,                0.66613,                 0.3297,                0.42304,                0.21469,                 1.7582,                 2.2821,                 1.5596,             0.00055005,             0.00055005,             0.00055005
                      2,                 1.6852,                 1.7741,                 1.5388,                 0.5199,                0.34513,                0.36323,                0.16895,                  1.994,                 2.3201,                 1.8594,              0.0010327,              0.0010327,              0.0010327
                      3,                 1.7312,                 1.7671,                  1.584,                0.49941,                0.41076,                0.39261,                 0.1855,                 1.9514,                 2.1456,                 1.7497,              0.0014421,              0.0014421,              0.0014421
                      4,                 1.7354,                 1.7502,                 1.5838,                 0.4591,                0.34287,                0.32211,                0.14741,                 2.0421,                 2.1344,                 1.9079,              0.0013369,              0.0013369,              0.0013369
                      5,                 1.6889,                 1.6775,                 1.5554,                0.55107,                0.44161,                 0.4484,                0.22559,                  1.831,                 1.8155,                 1.6834,              0.0013369,              0.0013369,              0.0013369
                      6,                  1.751,                 1.7399,                  1.628,                0.62856,                0.44317,                0.49122,                0.24887,                   1.83,                 1.7026,                 1.6208,              0.0012269,              0.0012269,              0.0012269
                      7,                 1.7426,                 1.6472,                 1.6195,                0.64928,                0.46631,                0.51258,                 0.2648,                  1.793,                 1.6488,                 1.6399,              0.0011169,              0.0011169,              0.0011169
                      8,                 1.7104,                 1.5877,                 1.5926,                0.64606,                0.49857,                0.52967,                0.27499,                 1.7686,                 1.5642,                  1.598,              0.0010069,              0.0010069,              0.0010069
                      9,                 1.6617,                 1.5227,                 1.5563,                0.64639,                0.47234,                0.51326,                 0.2656,                  1.753,                 1.6231,                 1.5966,             0.00089685,             0.00089685,             0.00089685
                     10,                 1.6414,                 1.4834,                 1.5435,                0.63799,                0.48898,                 0.5317,                0.28179,                 1.7399,                 1.5521,                 1.5876,             0.00078682,             0.00078682,             0.00078682
                     11,                 1.6036,                 1.4351,                 1.5116,                0.67376,                0.51566,                0.56506,                0.30568,                 1.6647,                 1.4484,                 1.5272,              0.0006768,              0.0006768,              0.0006768
                     12,                 1.5799,                 1.3742,                 1.4863,                0.67596,                0.54108,                0.57925,                0.31681,                 1.6763,                 1.4105,                 1.5414,             0.00056678,             0.00056678,             0.00056678
                     13,                 1.5576,                 1.3563,                 1.4809,                0.70087,                0.53655,                0.59977,                0.33267,                 1.6357,                 1.3618,                 1.4925,             0.00045676,             0.00045676,             0.00045676
                     14,                  1.532,                 1.3005,                 1.4474,                0.70661,                0.54752,                 0.6036,                0.33641,                 1.6268,                 1.3491,                 1.4905,             0.00034674,             0.00034674,             0.00034674
                     15,                 1.4802,                 1.2593,                 1.4201,                0.70913,                0.55309,                0.60834,                0.34106,                  1.612,                 1.3191,                 1.4719,             0.00023671,             0.00023671,             0.00023671
