                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7519,                 3.6975,                 4.0729,                0.00211,                0.09274,                0.00146,                0.00045,                 4.1159,                 4.6237,                 4.5646,             0.00055005,             0.00055005,             0.00055005
                      2,                 3.2359,                 3.4237,                  3.434,                0.01721,                0.09168,                0.00979,                0.00276,                 3.2055,                 4.3636,                 3.5559,              0.0010838,              0.0010838,              0.0010838
                      3,                 2.9818,                 3.2127,                 3.0462,                0.09383,                0.04614,                0.02639,                0.00706,                 2.9747,                 3.4041,                 3.1656,              0.0015956,              0.0015956,              0.0015956
                      4,                 2.7845,                 3.0715,                 2.8301,                0.09354,                0.11836,                0.03802,                0.01085,                 2.6927,                  3.439,                 2.8164,               0.001568,               0.001568,               0.001568
                      5,                  2.606,                 2.9032,                   2.66,                0.12706,                0.24086,                0.08368,                0.02718,                 2.6067,                 3.5059,                 2.6906,               0.001568,               0.001568,               0.001568
                      6,                 2.4905,                 2.8179,                  2.552,                 0.2186,                0.18761,                0.10189,                0.03509,                 2.5119,                 2.8817,                  2.615,               0.001535,               0.001535,               0.001535
                      7,                 2.3929,                 2.7247,                 2.4622,                0.17629,                0.18852,                0.09239,                0.03158,                 2.5422,                 2.8012,                  2.607,               0.001502,               0.001502,               0.001502
                      8,                 2.3171,                 2.6225,                 2.3816,                0.31486,                0.21982,                0.16791,                0.06268,                 2.3674,                 2.5937,                 2.4707,               0.001469,               0.001469,               0.001469
                      9,                 2.2521,                 2.4784,                 2.3067,                0.33699,                0.24038,                0.19469,                0.07378,                  2.323,                 2.5838,                 2.4137,               0.001436,               0.001436,               0.001436
                     10,                 2.2167,                 2.4645,                 2.2673,                0.35334,                0.26293,                0.22068,                0.09134,                 2.2674,                 2.4689,                 2.3479,              0.0014029,              0.0014029,              0.0014029
                     11,                 2.1754,                 2.4252,                 2.2255,                0.35907,                0.26243,                0.23976,                0.09791,                 2.2445,                 2.3861,                   2.34,              0.0013699,              0.0013699,              0.0013699
                     12,                 2.1635,                 2.3802,                 2.2067,                0.37712,                0.28507,                0.24852,                0.09997,                  2.256,                 2.3977,                 2.3093,              0.0013369,              0.0013369,              0.0013369
                     13,                 2.1312,                 2.3297,                 2.1602,                0.38834,                0.27438,                0.24837,                0.10403,                  2.205,                 2.3781,                 2.2997,              0.0013039,              0.0013039,              0.0013039
                     14,                  2.096,                 2.2712,                 2.1295,                0.41415,                0.28394,                0.26501,                0.11627,                  2.193,                 2.3082,                 2.2271,              0.0012709,              0.0012709,              0.0012709
                     15,                 2.0874,                 2.2441,                 2.1096,                0.43352,                 0.2907,                0.27969,                0.11543,                 2.2197,                 2.2885,                 2.2524,              0.0012379,              0.0012379,              0.0012379
                     16,                  2.073,                 2.1992,                 2.0937,                 0.4737,                0.31171,                0.32487,                0.13761,                 2.1297,                 2.1753,                 2.1902,              0.0012049,              0.0012049,              0.0012049
                     17,                 2.0519,                 2.1962,                 2.0713,                0.46713,                 0.3209,                0.31375,                0.14012,                 2.1044,                 2.1367,                 2.1674,              0.0011719,              0.0011719,              0.0011719
                     18,                 2.0208,                 2.1479,                 2.0422,                0.48172,                0.33192,                0.33964,                0.15401,                 2.0684,                 2.0977,                 2.1397,              0.0011389,              0.0011389,              0.0011389
                     19,                  2.012,                 2.1157,                 2.0231,                0.50325,                0.30771,                0.32741,                0.14198,                 2.1116,                 2.1517,                 2.1643,              0.0011059,              0.0011059,              0.0011059
                     20,                  1.999,                 2.1269,                 2.0251,                0.48463,                0.32332,                 0.3354,                0.15181,                 2.0695,                 2.0746,                 2.1353,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.9765,                 2.0796,                 2.0126,                0.50783,                0.33749,                0.35177,                0.16165,                 2.0464,                 2.1119,                 2.1067,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.9693,                 2.0927,                 2.0013,                0.48731,                0.33268,                 0.3397,                0.15629,                 2.0526,                 2.0845,                 2.1252,              0.0010069,              0.0010069,              0.0010069
                     23,                  1.966,                 2.0485,                 1.9787,                0.53192,                0.35087,                0.37054,                 0.1687,                  2.057,                 2.0101,                 2.1114,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.9574,                 2.0291,                 1.9723,                 0.5208,                0.33981,                0.36117,                 0.1624,                 2.0439,                 2.0458,                 2.1391,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.9275,                 2.0282,                 1.9648,                0.51579,                0.36099,                0.37206,                0.17368,                 2.0484,                 2.0118,                 2.0925,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.9207,                  2.012,                  1.954,                0.55448,                 0.3505,                0.38456,                0.18043,                 2.0271,                 1.9925,                 2.0823,             0.00087484,             0.00087484,             0.00087484
