                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 1.8984,                 1.9786,                 1.9425,                0.53703,                0.37393,                0.40066,                0.19106,                 1.9851,                 1.9499,                  2.052,             0.00084184,             0.00084184,             0.00084184
                     28,                  1.889,                 1.9716,                 1.9282,                0.51631,                 0.3621,                0.38346,                0.17836,                 2.0298,                 1.9843,                 2.0712,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.8843,                 1.9394,                 1.9315,                0.54023,                0.37581,                 0.4008,                0.19188,                  1.979,                 1.9319,                  2.024,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.8956,                 1.9314,                 1.9227,                0.57444,                 0.3652,                0.40433,                0.19284,                 1.9997,                  1.918,                 2.0307,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.8673,                 1.9255,                 1.9145,                0.53159,                0.37546,                0.39778,                0.18858,                 1.9688,                 1.9233,                 2.0255,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.8475,                 1.9057,                  1.889,                0.55822,                0.39043,                0.42218,                0.20411,                 1.9646,                 1.8855,                 2.0319,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.8505,                 1.8831,                 1.8907,                0.56126,                0.38475,                0.41944,                0.20463,                 1.9768,                 1.8669,                 2.0016,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.8565,                 1.8742,                 1.8906,                0.56963,                0.39865,                0.42853,                0.20919,                 1.9557,                 1.8494,                 2.0064,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.8406,                 1.8689,                 1.8806,                0.58784,                0.39773,                 0.4363,                0.21591,                 1.9397,                 1.8226,                 1.9948,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.8476,                 1.8625,                 1.8778,                 0.5605,                 0.4141,                 0.4374,                0.21506,                 1.9327,                 1.8178,                 1.9878,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.8241,                 1.8365,                 1.8538,                0.57333,                0.39358,                0.42527,                0.21019,                 1.9523,                 1.8619,                 2.0177,             0.00051177,             0.00051177,             0.00051177
                     38,                  1.819,                 1.8332,                 1.8641,                0.57655,                0.41861,                 0.4484,                0.21973,                 1.9379,                 1.8006,                 1.9766,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.8228,                 1.8202,                 1.8582,                0.60567,                0.40752,                0.45133,                0.22419,                 1.9195,                 1.7939,                 1.9638,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.8173,                 1.8234,                 1.8503,                0.57653,                0.41906,                0.45211,                0.22353,                 1.9143,                 1.7772,                 1.9663,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.8597,                 1.8445,                 1.9043,                0.58011,                 0.4222,                0.44779,                0.22626,                 1.9158,                 1.7735,                 1.9601,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.8368,                 1.7924,                 1.8869,                0.59712,                0.41794,                0.45198,                0.22856,                  1.918,                 1.7723,                 1.9573,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.8324,                 1.7441,                 1.8716,                0.60233,                0.41744,                0.46087,                0.23154,                 1.9191,                 1.7512,                 1.9359,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.8013,                 1.7244,                 1.8558,                0.60483,                0.42162,                 0.4623,                0.23447,                 1.8953,                 1.7346,                 1.9301,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.7961,                 1.7182,                 1.8435,                0.59649,                0.43861,                0.46229,                0.23044,                 1.9015,                 1.7408,                 1.9439,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.7919,                 1.7289,                 1.8564,                0.60905,                0.43856,                0.47277,                0.24207,                 1.8862,                 1.7091,                 1.9164,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.7745,                 1.6965,                 1.8401,                0.58977,                0.44049,                0.46922,                0.24016,                 1.8873,                 1.7112,                 1.9236,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.7795,                 1.6879,                 1.8248,                0.60311,                0.44324,                0.47657,                0.24367,                 1.8821,                 1.7038,                 1.9104,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.7847,                 1.6779,                 1.8288,                0.60017,                0.44765,                0.47876,                0.24507,                 1.8796,                 1.6952,                 1.9099,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.7564,                 1.6745,                 1.8186,                 0.6026,                0.45242,                0.47922,                0.24705,                 1.8762,                 1.6966,                 1.9133,             8.2683e-05,             8.2683e-05,             8.2683e-05
