,pretrained_test1_1epoch,pretrained_test2_5epoch,pretrained_test3_15epoch,pretrained_test4_50epoch,scratch_test5_5epoch,scratch_test6_15epoch,scratch_test7_50epoch
0,0.125,0.1605,0.1774,0.1931,0.0189,0.041,0.0945
1,0.115,0.1621,0.1758,0.1899,0.0174,0.0388,0.0903
