                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7519,                 3.6975,                 4.0729,                0.00211,                0.09274,                0.00146,                0.00045,                 4.1159,                 4.6237,                 4.5646,             0.00055005,             0.00055005,             0.00055005
                      2,                 3.2332,                 3.4167,                 3.4319,                0.03731,                0.06027,                0.01163,                  0.003,                 3.1766,                 3.6753,                 3.4218,              0.0010327,              0.0010327,              0.0010327
                      3,                 2.9836,                 3.2246,                 3.0495,                0.09722,                0.07552,                0.03628,                0.01105,                 2.9443,                  3.343,                 3.0671,              0.0014421,              0.0014421,              0.0014421
                      4,                 2.7693,                 3.0596,                 2.8287,                0.11369,                0.14678,                0.05018,                0.01557,                 2.7004,                 3.2095,                 2.8485,              0.0013369,              0.0013369,              0.0013369
                      5,                  2.597,                 2.8968,                 2.6609,                0.15468,                0.14759,                 0.0753,                0.02502,                 2.6466,                 3.5699,                 2.7421,              0.0013369,              0.0013369,              0.0013369
                      6,                 2.4891,                  2.878,                 2.5763,                0.18692,                0.20793,                0.10844,                 0.0401,                 2.5129,                 3.0247,                 2.6116,              0.0012269,              0.0012269,              0.0012269
                      7,                 2.4189,                 2.7081,                 2.5118,                0.23667,                0.16471,                0.11968,                0.04395,                 2.4508,                 2.8376,                 2.5786,              0.0011169,              0.0011169,              0.0011169
                      8,                 2.3404,                 2.5709,                 2.4227,                 0.3111,                0.23652,                0.19248,                0.07251,                 2.3872,                  2.572,                  2.461,              0.0010069,              0.0010069,              0.0010069
                      9,                 2.3098,                 2.4954,                 2.3721,                0.37807,                0.23242,                0.21002,                0.08787,                 2.3319,                 2.5255,                 2.4295,             0.00089685,             0.00089685,             0.00089685
                     10,                 2.2715,                 2.4356,                  2.326,                0.38306,                0.25425,                0.23628,                0.09772,                 2.3101,                 2.3789,                 2.3829,             0.00078682,             0.00078682,             0.00078682
                     11,                 2.2182,                 2.3674,                 2.2832,                0.42385,                0.28345,                 0.2645,                0.11116,                 2.2646,                 2.2856,                 2.3406,              0.0006768,              0.0006768,              0.0006768
                     12,                 2.1791,                 2.2934,                 2.2394,                0.41461,                0.29299,                0.27908,                0.11726,                 2.2337,                 2.2565,                  2.323,             0.00056678,             0.00056678,             0.00056678
                     13,                 2.1544,                  2.267,                 2.2212,                0.45264,                0.29789,                0.29873,                 0.1286,                 2.2151,                 2.1997,                 2.2624,             0.00045676,             0.00045676,             0.00045676
                     14,                 2.1269,                 2.2215,                 2.1966,                0.45621,                0.31034,                0.30667,                0.13464,                 2.1627,                 2.1636,                 2.2374,             0.00034674,             0.00034674,             0.00034674
                     15,                 2.0899,                 2.1983,                 2.1761,                0.47251,                0.31094,                0.31709,                0.14084,                 2.1687,                 2.1509,                 2.2218,             0.00023671,             0.00023671,             0.00023671
